time,direction,type,display_name,user_id,text
2025-10-08T22:58:18,in,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,住宿
2025-10-08T22:58:19,out,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,"🏨 入住 15:00、退房 11:00。可行李寄放、嬰兒床與加床（需預約）。
🔗 點此預約：https://your-hotel.com/booking"
2025-10-08T22:58:21,in,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,餐飲
2025-10-08T22:58:22,out,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,🍽 早餐 06:30–10:00（2F 自助），晚餐 17:30–21:30，提供素食（請提前告知）。
2025-10-08T22:58:23,in,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,停車場
2025-10-08T22:58:24,out,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,"🏨 飯店設施
• 免費 Wi-Fi（全館）
• 24 小時櫃檯與行李寄放
• B2–B4 住客免費停車（車高 ≤ 2.0 m）
• 健身房 06:00–22:00（3F）
• 自助洗衣 24H（B1，投幣式）
• 商務中心 08:00–22:00（2F）
• 無障礙客房 2 間（需預約）
• 溫水游泳池 06:00–22:00（10F）"
2025-10-08T22:58:26,in,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,聯絡資訊
2025-10-08T22:58:26,out,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,☎️ 電話：07-xxx-xxxx｜Email：hotel@example.com｜飯店提供中文與英文服務｜櫃檯 24 小時服務
2025-10-08T22:58:28,in,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,住宿
2025-10-08T22:58:29,out,text,Daisy,U1357e6d9c1f91eb5d30b935dc960e54f,"🏨 入住 15:00、退房 11:00。可行李寄放、嬰兒床與加床（需預約）。
🔗 點此預約：https://your-hotel.com/booking"
