time,direction,type,display_name,user_id,text
2025-10-08T18:27:38,in,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,住宿
2025-10-08T18:27:40,out,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,"🏨 入住 15:00、退房 11:00。可行李寄放、嬰兒床與加床（需預約）。
🔗 點此預約：https://your-hotel.com/booking"
2025-10-08T18:27:40,in,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,聯絡資訊
2025-10-08T18:27:40,out,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,☎️ 電話：07-xxx-xxxx｜Email：hotel@example.com｜飯店提供中文與英文服務｜櫃檯 24 小時服務
2025-10-08T18:27:40,in,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,餐飲
2025-10-08T18:27:41,out,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,🍽 早餐 06:30–10:00（2F 自助），晚餐 17:30–21:30，提供素食（請提前告知）。
2025-10-08T18:27:41,in,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,停車場
2025-10-08T18:27:42,out,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,"🏨 飯店設施
• 免費 Wi-Fi（全館）
• 24 小時櫃檯與行李寄放
• B2–B4 住客免費停車（車高 ≤ 2.0 m）
• 健身房 06:00–22:00（3F）
• 自助洗衣 24H（B1，投幣式）
• 商務中心 08:00–22:00（2F）
• 無障礙客房 2 間（需預約）
• 溫水游泳池 06:00–22:00（10F）"
2025-10-08T18:27:44,in,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,停車場
2025-10-08T18:27:45,out,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,"🏨 飯店設施
• 免費 Wi-Fi（全館）
• 24 小時櫃檯與行李寄放
• B2–B4 住客免費停車（車高 ≤ 2.0 m）
• 健身房 06:00–22:00（3F）
• 自助洗衣 24H（B1，投幣式）
• 商務中心 08:00–22:00（2F）
• 無障礙客房 2 間（需預約）
• 溫水游泳池 06:00–22:00（10F）"
2025-10-08T18:28:46,in,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,test1
2025-10-08T18:28:49,out,text,派小星,Ue7e60d4f74d53d1610c932239dbf705e,很抱歉，我無法回答您這個問題，歡迎致電讓我們為您服務：電話：07-xxx-xxxx。
